SitReptNo.	Date	Alimbongo	Beni	Biena	Butembo	Goma	Kalunguta	Katwa	Kayna	Kyondo	Lubero	Mabalako	Manguredjipa	Masereka	Musienene	Mutwanga	Nyiragongo	Oicha	Vuhovi	Ariwara	Bunia	Komanda	Lolwa	Mambasa	Mandima	Nyakunde	Rwampara	Tchomia
1	05-Aug	0	0	0	2	0	0	0	0	0	0	28	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0
2	12-Aug	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	20-Aug	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	26-Aug	0	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	02-Sep	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	09-Sep	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	16-Sep	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	23-Sep	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	02-Oct	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	07-Oct	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	15-Oct	0	20	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	21-Oct	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	28-Oct	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	04-Nov	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15	11-Nov	0	9	0	8	0	5	0	0	3	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0
16	19-Nov	0	0	0	0	0	16	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0
17	26-Nov	0	9	0	8	0	1	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
18	03-Dec	0	11	0	3	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
19	10-Dec	0	0	0	0	0	4	11	0	0	0	5	0	1	0	1	0	1	2	0	0	0	0	0	1	0	0	0
20	16-Dec	0	8	0	1	0	1	7	0	2	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
21	25-Dec	0	10	0	10	0	0	6	0	0	0	4	0	0	0	0	0	2	0	0	0	8	0	0	0	1	0	0
22	01-Jan	0	5	0	0	0	0	2	0	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
