year,week,Bath,Birkenhead,Birmingham,Blackburn,Blackpool,Bolton,Bournemouth,Bradford,Brighton,Bristol,Cambridge,Cardiff,Chester,Colchester,Coventry,Derby,Exeter,Gateshead,Great Yarmouth,Huddersfield,Hull,Ipswich,Kings Lynn,Leeds,Leicester,Liverpool,London,Luton,Macclesfield,Manchester,Newcastle,Newport,Nortmpton,Norwich,Nottingham,Oldham,Oxford,Plymouth,Portsmouth,Preston,Reading,S Shields,Salford,Sheffield,Shrewsbury,Southampton,Southend,St Helens,Stockport,Stoke,Sunderland,Swansea,Teignmouth,Wakefield,Wallasey,Walsall,Warrington,Wigan,Wolverhampton,York
44,2,0,1,7,0,1,0,0,21,3,2,1,4,0,0,4,2,0,2,0,2,3,1,0,6,0,15,180,0,0,18,9,0,2,0,16,7,0,0,1,27,0,75,1,6,1,0,1,2,1,1,2,0,0,0,1,1,1,1,8,7
44,4,0,0,7,0,6,0,0,10,23,6,3,6,0,0,2,2,0,2,0,0,2,0,1,7,1,16,271,0,0,20,17,1,0,2,20,13,1,4,4,62,0,84,7,1,0,0,0,1,0,5,10,0,1,0,0,1,3,2,6,0
44,6,0,0,14,2,10,1,1,7,37,4,1,8,1,0,8,3,2,0,1,1,4,0,0,9,0,38,423,0,0,35,27,2,1,2,10,11,1,4,1,73,1,83,5,5,0,5,4,2,0,5,25,0,0,0,1,4,5,1,4,2
44,8,0,1,25,5,13,0,4,3,22,2,5,17,0,2,16,1,0,3,0,0,1,0,0,8,0,53,465,0,0,45,30,0,0,15,22,18,0,1,3,67,2,122,6,6,3,10,3,2,3,5,24,0,0,0,1,2,2,2,5,4
44,10,0,0,29,1,7,1,3,6,25,5,4,12,2,0,13,0,0,4,0,0,8,3,2,4,2,42,523,1,0,86,46,6,1,12,34,20,0,3,12,83,2,80,6,9,0,13,10,3,0,6,41,0,0,0,3,5,6,2,8,2
44,12,0,1,42,0,10,11,4,7,27,11,1,23,0,9,20,0,1,5,0,5,8,1,0,12,2,83,649,4,2,83,51,3,0,38,23,31,3,7,5,99,1,78,20,8,0,9,15,5,1,17,32,0,2,1,4,5,4,1,12,2
44,14,1,3,57,2,23,4,6,8,20,8,5,30,1,7,16,1,4,4,2,5,7,4,0,21,3,123,624,1,1,91,64,7,2,32,31,84,8,4,20,101,6,52,17,19,2,6,10,4,0,17,16,0,6,0,6,8,7,3,4,4
44,16,0,2,113,1,15,4,4,10,17,5,14,22,0,1,9,2,1,5,4,6,16,2,1,32,2,153,556,1,0,89,112,15,3,50,16,94,9,3,6,69,5,45,37,23,1,4,7,11,2,12,54,2,4,0,4,6,8,7,2,1
44,18,0,3,59,1,11,2,12,8,10,1,1,21,2,0,11,7,0,5,1,4,12,1,0,25,8,108,420,1,1,68,106,5,2,55,5,81,6,1,17,26,3,45,40,19,0,0,4,7,0,11,48,15,1,0,1,2,2,3,5,3
44,20,2,5,62,0,21,6,38,5,17,1,0,22,3,0,10,0,4,1,3,7,6,0,0,17,13,105,423,0,0,31,104,0,11,32,2,134,2,7,22,23,0,55,35,19,0,2,0,18,2,15,39,7,1,1,4,5,0,1,2,3
44,22,3,8,100,1,31,3,97,7,21,3,2,18,0,0,8,0,12,6,0,7,20,3,0,26,11,151,488,2,0,53,107,2,3,12,3,259,2,4,49,21,2,35,48,20,0,5,0,10,0,31,46,19,3,0,2,7,3,1,3,0
44,24,1,5,115,6,26,2,145,18,34,3,1,8,0,0,9,1,25,7,0,7,7,3,1,29,18,176,441,0,0,67,126,2,1,5,4,213,4,5,64,25,0,17,62,24,1,2,4,6,3,35,47,27,1,4,3,6,2,0,2,1
44,26,1,3,68,2,84,4,114,9,31,4,1,8,0,0,12,0,58,2,0,1,4,2,0,20,14,179,268,2,0,92,156,6,2,2,4,91,2,2,108,49,1,7,24,26,1,16,5,8,1,34,56,26,0,2,4,7,5,0,3,0
44,28,1,2,64,5,96,5,62,8,27,3,1,7,2,1,18,0,61,6,0,5,8,8,0,26,12,256,260,0,1,152,132,0,4,3,3,47,9,0,71,24,0,7,44,26,1,23,1,12,3,30,38,30,4,1,3,4,1,3,4,1
44,30,1,3,72,5,106,1,78,6,23,3,1,2,3,0,8,3,62,4,1,3,1,2,0,10,11,207,163,2,2,157,125,0,2,0,2,21,3,0,86,19,0,11,50,21,0,10,0,17,3,40,28,21,7,2,8,9,0,2,2,1
44,32,1,13,60,5,93,4,44,2,21,6,0,3,0,0,2,2,81,7,0,2,3,1,0,12,16,158,83,9,0,190,118,0,0,1,7,10,2,2,75,15,2,10,29,21,0,2,0,13,1,30,14,4,0,1,4,5,0,0,5,2
44,34,0,8,52,7,32,1,28,1,14,1,1,1,3,0,6,4,28,7,0,5,4,1,0,6,5,122,60,1,0,137,105,0,0,1,8,12,8,1,25,8,0,9,14,33,1,1,0,11,1,27,9,5,1,1,2,3,2,0,6,2
44,36,1,10,30,17,24,1,11,2,7,1,2,1,1,1,3,2,9,13,0,2,1,0,0,3,6,133,41,0,0,135,87,0,0,0,6,5,5,0,26,16,0,8,22,20,1,1,0,19,3,9,7,3,1,2,0,2,9,9,2,2
44,38,2,21,53,27,28,2,4,13,1,9,0,2,1,0,5,0,10,44,0,12,2,0,0,1,2,173,48,1,0,191,135,0,0,0,9,4,6,2,17,6,1,9,31,23,0,0,6,37,7,9,7,7,0,2,0,14,15,21,0,8
44,40,0,22,114,26,46,5,6,17,3,16,0,0,0,0,7,1,7,27,2,19,1,0,0,3,1,304,65,1,0,312,156,0,0,0,12,7,8,0,21,10,0,15,82,27,0,4,7,92,14,49,6,6,0,2,9,17,33,15,0,3
44,42,0,58,171,57,98,6,2,15,2,53,1,0,2,1,47,0,9,53,0,65,3,1,0,10,1,429,82,4,1,439,164,3,1,1,27,14,4,1,29,18,0,23,76,28,0,1,5,179,14,159,12,12,0,0,31,31,55,9,1,5
44,44,0,77,224,84,121,23,0,23,2,80,1,6,3,0,138,1,14,58,0,97,16,0,0,40,2,447,145,2,1,722,156,3,1,0,76,7,5,2,15,46,0,15,229,70,0,1,6,188,12,271,12,22,1,2,26,20,65,7,5,17
44,46,1,123,297,120,160,72,6,40,1,107,3,4,15,2,562,3,19,83,0,148,39,0,1,56,2,675,122,4,0,817,119,1,3,1,153,8,6,0,25,30,2,19,217,84,0,2,20,287,43,443,9,35,0,2,62,12,111,9,2,8
44,48,0,194,454,227,201,194,7,106,0,151,28,8,15,13,727,1,14,111,0,207,34,1,0,65,31,710,194,6,14,821,118,1,1,0,232,23,4,4,41,45,1,18,279,113,4,5,17,343,121,498,30,28,0,8,173,40,111,13,4,35
44,50,1,193,719,325,147,317,7,95,1,151,40,47,7,2,603,3,32,217,1,199,37,1,0,179,53,765,237,8,2,1001,149,1,3,1,527,18,5,2,73,130,1,18,261,211,7,1,18,302,98,367,26,28,0,20,281,24,135,13,8,36
44,52,5,146,1049,271,102,386,0,104,9,189,23,52,4,1,443,3,33,199,3,292,71,3,12,133,45,560,318,8,1,910,111,0,0,1,509,20,22,9,69,83,0,27,116,275,2,1,14,137,169,318,28,36,0,15,199,38,116,5,8,24
45,2,17,108,1792,175,75,473,2,185,4,299,115,171,6,3,346,6,87,299,0,154,133,0,22,289,104,486,450,9,7,959,167,2,3,1,711,42,18,14,74,60,1,38,120,343,1,7,53,185,258,403,26,30,0,4,131,60,73,19,12,63
45,4,26,57,1959,87,79,392,20,283,8,440,59,166,34,4,187,38,71,138,1,132,217,0,20,525,142,471,671,26,10,813,158,5,3,0,422,64,37,64,43,205,12,31,89,505,3,37,40,87,220,269,30,35,5,16,72,218,47,33,29,133
45,6,102,43,1848,33,61,158,32,516,9,454,48,380,33,2,118,127,79,97,0,116,500,2,8,1263,430,374,1387,44,38,761,183,34,14,1,296,84,59,108,86,159,9,24,91,870,7,83,115,81,272,287,29,63,4,75,40,335,10,65,57,335
45,8,118,11,1698,10,79,112,66,712,28,501,34,324,54,12,46,171,97,44,0,76,845,0,22,1777,757,373,1617,126,31,635,174,18,19,5,122,37,109,220,174,123,9,29,47,1080,25,114,127,44,239,386,47,133,5,119,40,320,8,118,149,285
45,10,114,21,1536,5,69,41,77,859,34,591,17,313,151,39,58,217,82,36,0,49,693,1,22,1963,1303,297,2058,132,20,597,200,26,28,4,88,16,286,487,306,111,12,68,61,1225,35,144,158,17,88,467,103,236,0,182,59,296,14,131,265,170
45,12,81,14,1199,3,37,38,101,786,33,459,12,341,147,47,48,359,40,27,0,23,730,0,12,1778,1295,261,3099,118,28,531,258,79,36,7,79,44,423,565,278,102,27,104,50,1010,53,349,123,7,39,540,230,356,3,222,49,183,7,146,428,194
45,14,67,11,779,2,71,12,121,560,54,337,10,231,78,53,49,374,29,36,2,17,463,2,5,845,880,260,3340,104,98,325,270,212,49,3,50,22,401,447,203,47,14,120,41,885,35,314,120,12,71,393,327,319,5,133,16,95,7,168,440,63
45,16,17,14,555,3,59,13,79,261,225,213,9,205,55,59,44,372,10,23,4,11,123,9,5,489,318,220,2965,84,72,215,268,337,91,5,45,28,274,270,170,69,30,120,13,516,32,490,93,3,18,137,342,254,2,89,14,92,1,99,321,29
45,18,12,7,238,1,66,11,62,100,242,121,2,161,28,53,55,362,4,15,1,16,115,7,9,207,86,215,1873,71,172,166,172,381,157,4,30,15,225,144,82,31,98,134,3,344,30,216,102,2,12,93,299,173,4,61,11,60,6,50,147,19
45,20,3,8,180,1,28,7,49,75,334,84,9,134,20,84,56,324,5,11,9,15,57,8,7,151,64,183,1641,58,86,157,188,205,327,4,15,7,231,104,38,40,239,103,8,198,49,234,82,7,9,43,267,91,2,30,11,13,1,54,103,7
45,22,1,10,105,2,13,14,86,30,274,55,4,55,5,36,34,185,5,16,26,4,39,11,7,80,31,155,1122,48,45,93,139,136,284,17,11,1,123,72,25,43,356,77,6,127,18,132,49,2,4,28,201,71,5,10,20,13,5,25,108,4
45,24,1,17,75,0,13,16,60,23,116,41,1,47,2,17,33,82,1,20,51,6,21,10,14,24,25,124,884,42,30,61,101,59,190,49,6,8,26,55,17,24,207,50,7,80,10,71,37,10,3,25,146,57,9,7,2,3,0,8,42,7
45,26,1,13,42,0,24,5,40,17,103,36,2,28,1,21,22,48,1,16,34,13,8,14,28,20,22,92,591,25,4,61,74,52,82,80,3,10,32,33,12,37,148,28,6,36,3,39,23,2,3,13,73,33,36,5,3,4,1,13,31,4
45,28,0,2,23,2,12,10,31,7,44,17,5,11,0,14,18,35,1,3,15,19,2,14,13,8,16,81,427,11,5,37,83,10,42,92,0,13,14,26,7,28,88,15,9,24,0,22,9,4,4,11,58,15,33,1,2,4,0,5,17,0
45,30,2,1,14,1,14,9,16,11,41,22,0,11,1,21,11,11,1,4,7,4,6,19,14,13,5,58,282,5,3,43,54,10,32,114,4,23,16,18,6,15,60,14,17,18,0,10,5,6,2,7,33,5,23,5,2,3,3,6,14,0
45,32,1,1,11,1,6,1,12,2,6,9,0,21,1,7,6,5,0,11,3,6,4,19,27,8,7,23,174,9,1,25,29,4,20,79,2,19,8,11,2,13,22,6,5,12,0,9,8,1,2,9,33,5,6,7,5,4,1,10,2,1
