Province,HealthZone,Latitude,Longitude
North-Kivu,Alimbongo,-0.365515,29.1911818
North-Kivu,Beni,0.49113,29.47306
North-Kivu,Biena,0.57923,29.115633
North-Kivu,Butembo,0.140692,29.335014
North-Kivu,Goma,-1.658271,29.220132
North-Kivu,Kalunguta,0.323085,29.354677
North-Kivu,Katwa,0.116985,29.371838
North-Kivu,Kayna,-0.603936,29.174066
North-Kivu,Kyondo,-0.005622,29.408813
North-Kivu,Lubero,-0.15633,29.24057
North-Kivu,Mabalako,0.461257,29.210687
North-Kivu,Manguredjipa,0.353433,28.765479
North-Kivu,Masereka,-0.133333,29.333333
North-Kivu,Musienene,0.04022,29.26246
North-Kivu,Mutwanga,0.32893,29.74576
North-Kivu,Nyiragongo,-1.516667,29.25
North-Kivu,Oicha,0.698681,29.518834
North-Kivu,Pinga,-0.9830504,28.687911
North-Kivu,Vuhovi,0.1416,29.4075
Ituri,Ariwara,3.136873,30.706615
Ituri,Bunia,1.566667,30.25
Ituri,Komanda,1.367496,29.774322
Ituri,Lolwa,1.352969,29.498455
Ituri,Mambasa,1.359731,29.029226
Ituri,Mandima,1.35551,29.08173
Ituri,Nyakunde,1.431271,30.029283
Ituri,Rwampara,1.4053,30.3449
Ituri,Tchomia,1.4412,30.4845
