"Location","lat","lon","InitialVaccinated","InitialExposed","InitialInfections","InitialRecovered","InitialDead"
"Prague",50.083333,14.416667,996344,1246,623,186635,2769
"CentralBohemian",50,14.533333,576874,722,361,229570,3428
"SouthBohemian",49.083333,14.666667,336419,250,125,98687,1986
"Plzen",49.7475,13.3775,301463,40,20,97486,1922
"KarlovyVary",50.230556,12.8725,148096,48,24,44109,1486
"UstinadLabem",50.658333,14.041667,391864,76,38,121589,2633
"Liberec",50.685584,14.537747,217604,-38,-19,79926,1282
"HradecKralove",50.209167,15.831944,288820,-174,-87,103324,1825
"Pardubice",49.951136,15.795636,241724,100,50,92448,1444
"Vysocina",49.6079,15.580728,257867,214,107,79079,1378
"SouthMoravian",49.363161,16.643175,621566,70,35,153449,3431
"Olomouc",49.593889,17.250833,294242,-38,-19,91847,1711
"Zlin",49.29786,17.393135,284549,-20,-10,90240,1602
"Moravian-Silesian",49.988449,17.464759,565813,212,106,176602,3539
