"Location","lat","lon","InitialVaccinated","InitialExposed","InitialInfections","InitialRecovered","InitialDead"
"Prague",50.083333,14.416667,1197508,21738,10869,479140,3527
"CentralBohemian",50,14.533333,678463,18288,9144,509835,4233
"SouthBohemian",49.083333,14.666667,388966,8336,4168,218924,2653
"Plzen",49.7475,13.3775,351869,7720,3860,208347,2402
"KarlovyVary",50.230556,12.8725,169936,2738,1369,80894,1640
"UstinadLabem",50.658333,14.041667,457738,9224,4612,263833,3331
"Liberec",50.685584,14.537747,257638,3850,1925,156100,1563
"HradecKralove",50.209167,15.831944,335349,6328,3164,201017,2142
"Pardubice",49.951136,15.795636,285427,6512,3256,191471,1874
"Vysocina",49.6079,15.580728,294776,6640,3320,169100,1722
"SouthMoravian",49.363161,16.643175,718746,15228,7614,401000,4819
"Olomouc",49.593889,17.250833,339058,7110,3555,218426,2415
"Zlin",49.29786,17.393135,322814,6168,3084,209159,2264
"Moravian-Silesian",49.988449,17.464759,651346,12354,6177,406089,5123
"Unknown",0,0,0,20,10,2966,0
