Location,Lat,Lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Prague,50.083333,14.416667,252944,1380,690,181947,2736
CentralBohemian,50,14.533333,159560,1274,637,226944,3421
SouthBohemian,49.083333,14.666667,93490,1048,524,97405,1978
Plzen,49.7475,13.3775,82014,500,250,95944,1912
KarlovyVary,50.230556,12.8725,40129,50,25,43882,1484
UstinadLabem,50.658333,14.041667,104454,1098,549,120416,2523
Liberec,50.685584,14.537747,59442,506,253,79029,1280
HradecKralove,50.209167,15.831944,82074,42,21,102835,1811
Pardubice,49.951136,15.795636,65060,492,246,91729,1437
Vysocina,49.6079,15.580728,66325,820,410,78308,1375
SouthMoravian,49.363161,16.643175,165250,1406,703,151627,3412
Olomouc,49.593889,17.250833,89116,1090,545,90887,1709
Zlin,49.29786,17.393135,80125,1116,558,89163,1594
Moravian-Silesian,49.988449,17.464759,159490,2404,1202,174251,3521
