Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Prague,50.083333,14.416667,0,1634,817,4448,122
CentralBohemian,50,14.533333,0,1098,549,2338,28
SouthBohemian,49.083333,14.666667,0,432,216,472,6
Plzen,49.7475,13.3775,0,378,189,919,22
KarlovyVary,50.230556,12.8725,0,126,63,485,38
UstinadLabem,50.658333,14.041667,0,226,113,791,22
Liberec,50.685584,14.537747,0,238,119,483,6
HradecKralove,50.209167,15.831944,0,300,150,439,5
Pardubice,49.951136,15.795636,0,374,187,577,12
Vysocina,49.6079,15.580728,0,442,221,535,15
SouthMoravian,49.363161,16.643175,0,892,446,1304,27
Olomouc,49.593889,17.250833,0,286,143,1118,26
Zlin,49.29786,17.393135,0,306,153,675,5
Moravian-Silesian,49.988449,17.464759,0,546,273,5035,94
