Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Bath,51.38,-2.36,0,1000,100,0,0
Birkenhead,53.6,-2.9,0,35000,3500,0,0
Birmingham,52.483,-1.894,0,156000,15600,0,0
Blackburn,53.745,-2.477,0,46000,4600,0,0
Blackpool,53,-3,0,58000,5800,0,0
Bolton,53.578,-2.429,0,41000,4100,0,0
Bournemouth,50.72,-1.88,0,26000,2600,0,0
Bradford,53.788,-1.75,0,21000,2100,0,0
Brighton,50.843,-0.131,0,15000,1500,0,0
Bristol,51.45,-2.583,0,32000,3200,0,0
Cambridge,52.205,0.119,0,5000,500,0,0
Cardiff,51.483,-3.183,0,13000,1300,0,0
Chester,53.19,-2.892,0,3000,300,0,0
Colchester,51.892,0.903,0,2000,200,0,0
Coventry,52.408,-1.511,0,104000,10400,0,0
Derby,52.922,-1.476,0,2000,200,0,0
Exeter,50.717,-3.533,0,19000,1900,0,0
Gateshead,54.95,-1.6,0,34000,3400,0,0
Great Yarmouth,52.606,1.729,0,1000,100,0,0
Huddersfield,53.645,-1.78,0,42000,4200,0,0
Hull,53.744,-0.333,0,12000,1200,0,0
Ipswich,52.059,1.156,0,1000,100,0,0
Kings Lynn,52.754,0.398,0,1000,100,0,0
Leeds,53.8,-1.549,0,29000,2900,0,0
Leicester,52.633,-1.133,0,10000,1000,0,0
Liverpool,53.4,-2.9,0,238000,23800,0,0
London,51.407,0.01,0,290000,29000,0,0
Luton,51.879,-0.417,0,2000,200,0,0
Macclesfield,53.258,-2.127,0,1000,100,0,0
Manchester,53.467,-2.233,0,260000,26000,0,0
Newcastle,54.972,-1.608,0,101000,10100,0,0
Newport,51.583,-3,0,2000,200,0,0
Northampton,52.23,-0.894,0,2000,200,0,0
Norwich,52.6,1.3,0,10000,1000,0,0
Nottingham,52.95,-1.133,0,68000,6800,0,0
Oldham,53.537,-2.113,0,48000,4800,0,0
Oxford,51.752,-1.258,0,5000,500,0,0
Plymouth,50.388,-4.147,0,3000,300,0,0
Portsmouth,50.808,-1.072,0,34000,3400,0,0
Preston,53.76,-2.707,0,45000,4500,0,0
Reading,51.455,-0.972,0,1000,100,0,0
S Shields,54.992,-1.429,0,37000,3700,0,0
Salford,53.552,-2.295,0,68000,6800,0,0
Sheffield,53.383,-1.467,0,44000,4400,0,0
Shrewsbury,52.708,-2.754,0,1000,100,0,0
Southampton,50.918,-1.397,0,5000,500,0,0
Southend,51.545,0.703,0,6000,600,0,0
St Helens,53.453,-2.747,0,66000,6600,0,0
Stockport,53.41,-2.158,0,19000,1900,0,0
Stoke,52.403,-1.465,0,94000,9400,0,0
Sunderland,54.91,-1.385,0,26000,2600,0,0
Swansea,51.632,-3.958,0,13000,1300,0,0
Teignmouth,50.552,-3.489,0,1000,100,0,0
Wakefield,53.68,-1.492,0,3000,300,0,0
Wallasey,53.5,-2.9,0,32000,3200,0,0
Walsall,52.583,-1.978,0,11000,1100,0,0
Warrington,53.392,-2.597,0,27000,2700,0,0
Wigan,53.545,-2.632,0,5000,500,0,0
Wolverhampton,52.583,-2.133,0,4000,400,0,0
York,53.958,-1.08,0,7000,700,0,0
