Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Naples,40.852,14.268,1000,200,100,50,50
Salerno,40.681,14.774,1000,200,100,50,50
Giugliano,40.929,14.191,1000,200,100,50,50
Torre del Greco,40.789,14.367,1000,200,100,50,50
Pozzuoli,40.835,14.109,1000,200,100,50,50
Casoria,40.906,14.291,1000,200,100,50,50
Caserta,41.072,14.331,1000,200,100,50,50
Castellammare di Stabia,40.698,14.488,1000,200,100,50,50
Afragola,40.920,14.307,1000,200,100,50,50
Acerra,40.944,14.372,1000,200,100,50,50
