Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Milan,45.469,9.182,1000,200,100,10,10
Brescia,45.542,10.212,1000,200,100,10,10
Monza,45.585,9.274,1000,200,100,10,10
Bergamo,45.694,9.671,1000,200,100,10,10
Como,45.806,9.085,1000,200,100,10,10
Busto Arsizio,45.612,8.852,1000,200,100,10,10
Pavia,45.185,9.155,1000,200,100,10,10
Cremona,45.133,10.023,1000,200,100,10,10
Mantua,45.156,10.791,1000,200,100,10,10
Lecco,45.852,9.395,1000,200,100,10,10
Lake Garda,45.605,10.635,1000,200,100,10,10
Lodi,45.310,9.504,1000,200,100,10,10
