Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Busan,35.21141793,129.0912098,0,0,1000,0,0
Chungcheongbuk-do,36.70060634,127.8182155,0,0,1000,0,0
Chungcheongnam-do,36.52544702,126.8431605,0,0,1000,0,0
Daegu,35.78116616,128.579926,0,0,1000,0,0
Daejeon,36.31868326,127.3785945,0,0,1000,0,0
Gangwon-do,37.71681608,128.2809986,0,0,1000,0,0
Gwangju,35.13442287,126.8551262,0,0,1000,0,0
Gyeonggi-do,37.49093933,127.1860658,0,0,1000,0,0
Gyeongsangbuk-do,36.3096476,128.7406821,0,0,1000,0,0
Gyeongsangnam-do,35.34559463,128.2745798,0,0,1000,0,0
Incheon,37.48769703,126.6268173,0,0,1000,0,0
Jeju,33.38431234,126.5538551,0,0,1000,0,0
Jeollabuk-do,35.69758172,127.159791,0,0,1000,0,0
Jeollanam-do,34.93608883,126.9694725,0,0,1000,0,0
Sejong,36.54758201,127.2391971,0,0,1000,0,0
Seoul,37.53329787,126.9909544,0,0,1000,0,0
Ulsan,35.53644803,129.2414326,0,0,1000,0,0
