Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead,admin_name,capital,population,population_proper
Seoul,37.56,126.99,980600,196120,98060,980600,7844.8,Seoul,primary,21794000,9806000
Busan,35.1,129.0403,345319.8,69063.96,34531.98,345319.8,2762.5584,Busan,admin,3453198,3453198
Incheon,37.4639,126.6486,291302.4,58260.48,29130.24,291302.4,2330.4192,Incheon,admin,2913024,2913024
Daegu,35.8667,128.6,246100.2,49220.04,24610.02,246100.2,1968.8016,Daegu,admin,2461002,2461002
Gwangju,35.1667,126.9167,149009.2,29801.84,14900.92,149009.2,1192.0736,Gwangju,admin,1490092,1490092
Daejeon,36.351,127.385,147522.1,29504.42,14752.21,147522.1,1180.1768,Daejeon,admin,1475221,1475221
Suwon,37.2858,127.01,123430,24686,12343,123430,987.44,Gyeonggi,admin,1234300,1234300
Ulsan,35.55,129.3167,116603.3,23320.66,11660.33,116603.3,932.8264,Ulsan,admin,1166033,1166033
Goyang,37.6564,126.835,106192.9,21238.58,10619.29,106192.9,849.5432,Gyeonggi,minor,1061929,1061929
Changwon,35.2281,128.6811,104605.4,20921.08,10460.54,104605.4,836.8432,Gyeongnam,admin,1046054,1046054
Sŏngnam,37.4386,127.1378,94875.7,18975.14,9487.57,94875.7,759.0056,Gyeonggi,,948757,948757
Bucheon,37.4989,126.7831,86767.8,17353.56,8676.78,86767.8,694.1424,Gyeonggi,minor,867678,867678
Cheongju,36.6372,127.4897,83327.6,16665.52,8332.76,83327.6,666.6208,Chungbuk,admin,833276,833276
Hwasu-dong,37.2,126.7667,65535,13107,6553.5,65535,524.28,Gyeonggi,,655350,655350
Jeonju,35.8219,127.1489,65305.5,13061.1,6530.55,65305.5,522.444,Jeonbuk,minor,653055,653055
Ansan,37.3236,126.8219,65280,13056,6528,65280,522.24,Gyeonggi,,652800,652800
Ch’ŏnan,36.8064,127.1522,65166.1,13033.22,6516.61,65166.1,521.3288,Chungnam,,651661,651661
Yanggok,37.6367,127.2142,62906.1,12581.22,6290.61,62906.1,503.2488,Gyeonggi,,629061,629061
Anyang,37.3925,126.9269,57329.6,11465.92,5732.96,57329.6,458.6368,Gyeonggi,,573296,573296
Pohang,36.0322,129.365,52030.5,10406.1,5203.05,52030.5,416.244,Gyeongbuk,minor,520305,520305
Pyeongtaek,36.9947,127.0889,45787.3,9157.46,4578.73,45787.3,366.2984,Gyeonggi,,457873,457873
Jeju,33.5097,126.5219,43541.3,8708.26,4354.13,43541.3,348.3304,Jeju,admin,435413,435413
Masan,35.1833,128.55,42961.2,8592.24,4296.12,42961.2,343.6896,Gyeongnam,,429612,429612
