State,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Abia ,5.533333,7.483333,0,45,9,0,9
Adamawa,9.23,12.46,0,20,4,0,19
Akwa Ibom,5.033333,7.916667,0,105,21,0,9
Anambra,6.206944,7.067778,0,5,1,0,19
Bauchi,10.315833,9.844167,0,80,16,0,14
Bayelsa,5.033333,6.333333,0,115,23,0,21
Benue,7.730556,8.536111,0,110,22,0,11
Borno,11.833333,13.15,0,20,4,0,36
Cross River,4.95,8.325,0,10,2,0,9
Delta,6.197842,6.728467,0,185,37,0,49
Ebonyi,6.333333,8.1,0,30,6,0,30
Edo,6.333333,5.622222,0,95,19,0,112
Ekiti,7.621111,5.221389,0,65,13,0,6
Enugu,6.452778,7.511111,0,105,21,0,21
Federal Capital Territory,9.066667,7.483333,0,1845,369,0,82
Gombe,10.283333,11.166667,0,280,56,0,25
Imo,5.485,7.035,0,115,23,0,12
Jigawa,11.701111,9.341944,0,30,6,0,11
Kaduna,10.516667,7.433333,0,360,72,0,45
Kano,12,8.516667,0,120,24,0,54
Katsina,12.983333,7.6,0,60,12,0,24
Kebbi,12.453611,4.200278,0,5,1,0,8
Kogi,7.816667,6.75,0,0,0,0,2
Kwara,8.5,4.55,0,165,33,0,27
Lagos,6.455027,3.384082,0,6115,1223,0,220
Nasarawa,8.491667,8.516667,0,735,147,0,13
Niger,9.613889,6.556944,0,50,10,0,12
Ogun,7.160833,3.348333,0,390,78,0,31
Ondo,7.25,5.195,0,490,98,0,39
Osun,7.766667,4.566667,0,80,16,0,20
Oyo,7.396389,3.916667,0,2030,406,0,45
Plateau,9.916667,8.890278,0,260,52,0,33
Rivers,4.824167,7.033611,0,495,99,0,59
Sokoto,13.062222,5.233889,0,0,0,0,17
Taraba,8.9,11.366667,0,100,20,0,6
Yobe,11.744444,11.961111,0,65,13,0,8
Zamfara,12.15,6.666667,0,5,1,0,5
