Location,Lat,Lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Abia ,5.533333,7.483333,54000,35,7,1764,24
Adamawa,9.23,12.46,54000,30,6,1098,32
Akwa Ibom,5.033333,7.916667,54000,3710,742,3200,42
Anambra,6.206944,7.067778,54000,315,63,1968,19
Bauchi,10.315833,9.844167,54000,10,2,1534,17
Bayelsa,5.033333,6.333333,54000,460,92,930,27
Benue,7.730556,8.536111,54000,0,0,1394,24
Borno,11.833333,13.15,54000,0,0,1306,38
Cross River,4.95,8.325,54000,65,13,442,21
Delta,6.197842,6.728467,54000,1415,283,2556,75
Ebonyi,6.333333,8.1,54000,65,13,2003,32
Edo,6.333333,5.622222,54000,1580,316,4891,195
Ekiti,7.621111,5.221389,54000,1425,285,1150,19
Enugu,6.452778,7.511111,54000,0,0,2531,29
Federal Capital Territory,9.066667,7.483333,54000,2180,436,20000,176
Gombe,10.283333,11.166667,54000,20,4,2191,44
Imo,5.485,7.035,54000,110,22,1650,38
Jigawa,11.701111,9.341944,54000,125,25,521,16
Kaduna,10.516667,7.433333,54000,100,20,9140,66
Kano,12,8.516667,54000,65,13,3921,110
Katsina,12.983333,7.6,54000,145,29,2100,35
Kebbi,12.453611,4.200278,54000,45,9,433,16
Kogi,7.816667,6.75,54000,0,0,3,2
Kwara,8.5,4.55,54000,1955,391,3112,59
Lagos,6.455027,3.384082,54000,28765,5753,66561,604
Nasarawa,8.491667,8.516667,54000,150,30,2345,39
Niger,9.613889,6.556944,54000,160,32,914,20
Ogun,7.160833,3.348333,54000,810,162,5021,76
Ondo,7.25,5.195,54000,1610,322,3575,71
Osun,7.766667,4.566667,54000,235,47,2585,79
Oyo,7.396389,3.916667,54000,3460,692,7300,164
Plateau,9.916667,8.890278,54000,430,86,9055,59
Rivers,4.824167,7.033611,54000,6400,1280,9055,132
Sokoto,13.062222,5.233889,54000,10,2,766,28
Taraba,8.9,11.366667,54000,135,27,1011,24
Yobe,11.744444,11.961111,54000,10,2,490,9
Zamfara,12.15,6.666667,54000,0,0,243,8
