Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Abia ,5.533333,7.483333,0,142,1000,697,8
Adamawa,9.23,12.46,0,66,1000,180,15
Akwa Ibom,5.033333,7.916667,0,76,1000,232,8
Anambra,6.206944,7.067778,0,60,1000,168,18
Bauchi,10.315833,9.844167,0,42,1000,633,14
Bayelsa,5.033333,6.333333,0,44,1000,348,21
Benue,7.730556,8.536111,0,320,1000,291,9
Borno,11.833333,13.15,0,68,1000,671,36
Cross River,4.95,8.325,0,2,1000,73,8
Delta,6.197842,6.728467,0,322,1000,1540,48
Ebonyi,6.333333,8.1,0,86,1000,931,27
Edo,6.333333,5.622222,0,302,1000,2336,100
Ekiti,7.621111,5.221389,0,134,1000,203,4
Enugu,6.452778,7.511111,0,468,1000,907,21
Federal Capital Territory,9.066667,7.483333,0,7180,1000,1553,59
Gombe,10.283333,11.166667,0,128,1000,636,23
Imo,5.485,7.035,0,626,1000,205,11
Jigawa,11.701111,9.341944,0,6,1000,308,11
Kaduna,10.516667,7.433333,0,244,1000,2018,12
Kano,12,8.516667,0,184,1000,1581,54
Katsina,12.983333,7.6,0,630,1000,457,24
Kebbi,12.453611,4.200278,0,6,1000,82,8
Kogi,7.816667,6.75,0,0,1000,3,2
Kwara,8.5,4.55,0,314,1000,784,25
Lagos,6.455027,3.384082,0,5448,1000,15231,202
Nasarawa,8.491667,8.516667,0,248,1000,298,12
Niger,9.613889,6.556944,0,30,1000,216,12
Ogun,7.160833,3.348333,0,220,1000,1523,26
Ondo,7.25,5.195,0,264,1000,1380,31
Osun,7.766667,4.566667,0,60,1000,737,17
Oyo,7.396389,3.916667,0,2254,1000,1954,37
Plateau,9.916667,8.890278,0,2232,1000,1504,29
Rivers,4.824167,7.033611,0,198,1000,1985,57
Sokoto,13.062222,5.233889,0,6,1000,140,16
Taraba,8.9,11.366667,0,18,1000,73,5
Yobe,11.744444,11.961111,0,0,1000,59,8
Zamfara,12.15,6.666667,0,0,1000,73,5
