Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Abia ,5.533333,7.483333,270270,25,5,2134,34
Adamawa,9.23,12.46,270270,340,68,1103,32
Akwa Ibom,5.033333,7.916667,270270,135,27,4586,44
Anambra,6.206944,7.067778,270270,230,46,2760,19
Bauchi,10.315833,9.844167,270270,90,18,1915,24
Bayelsa,5.033333,6.333333,270270,25,5,1282,28
Benue,7.730556,8.536111,270270,1700,340,1764,25
Borno,11.833333,13.15,270270,25,5,1580,44
Cross River,4.95,8.325,270270,25,5,797,25
Delta,6.197842,6.728467,270270,445,89,5170,111
Ebonyi,6.333333,8.1,270270,140,28,2004,32
Edo,6.333333,5.622222,270270,0,0,7373,321
Ekiti,7.621111,5.221389,270270,250,50,1926,28
Enugu,6.452778,7.511111,270270,65,13,2910,29
Federal Capital Territory,9.066667,7.483333,270270,515,103,28272,248
Gombe,10.283333,11.166667,270270,415,83,3158,66
Imo,5.485,7.035,270270,110,22,2480,58
Jigawa,11.701111,9.341944,270270,10,2,649,18
Kaduna,10.516667,7.433333,270270,60,12,11149,88
Kano,12,8.516667,270270,35,7,4851,127
Katsina,12.983333,7.6,270270,0,0,2381,37
Kebbi,12.453611,4.200278,270270,50,10,454,16
Kogi,7.816667,6.75,270270,0,0,3,2
Kwara,8.5,4.55,270270,1810,362,4175,64
Lagos,6.455027,3.384082,270270,1975,395,98062,769
Nasarawa,8.491667,8.516667,270270,1680,336,2345,39
Niger,9.613889,6.556944,270270,650,130,998,20
Ogun,7.160833,3.348333,270270,55,11,5717,82
Ondo,7.25,5.195,270270,1575,315,4749,109
Osun,7.766667,4.566667,270270,180,36,3183,92
Oyo,7.396389,3.916667,270270,385,77,9940,202
Plateau,9.916667,8.890278,270270,5,1,10176,75
Rivers,4.824167,7.033611,270270,280,56,16429,154
Sokoto,13.062222,5.233889,270270,0,0,789,28
Taraba,8.9,11.366667,270270,310,62,1377,34
Yobe,11.744444,11.961111,270270,0,0,600,9
Zamfara,12.15,6.666667,270270,0,0,366,9
