Location,lat,lon,InitialVaccinated,InitialExposed,InitialInfections,InitialRecovered,InitialDead
Abia ,5.533333,7.483333,283585,2,1,2141,34
Adamawa,9.23,12.46,465616,136,68,1103,32
Akwa Ibom,5.033333,7.916667,249110,54,27,4586,44
Anambra,6.206944,7.067778,200335,92,46,2760,19
Bauchi,10.315833,9.844167,450932,0,0,1942,24
Bayelsa,5.033333,6.333333,81117,0,0,1287,28
Benue,7.730556,8.536111,392092,680,340,1764,25
Borno,11.833333,13.15,274396,10,5,1580,44
Cross River,4.95,8.325,526640,0,0,805,25
Delta,6.197842,6.728467,898023,244,122,5170,111
Ebonyi,6.333333,8.1,134061,56,28,2004,32
Edo,6.333333,5.622222,305098,0,0,7373,321
Ekiti,7.621111,5.221389,471214,104,52,1926,28
Enugu,6.452778,7.511111,271871,26,13,2910,29
Federal Capital Territory,9.066667,7.483333,706851,54,27,28423,249
Gombe,10.283333,11.166667,375055,166,83,3158,66
Imo,5.485,7.035,205514,32,16,2527,58
Jigawa,11.701111,9.341944,3107680,4,2,649,18
Kaduna,10.516667,7.433333,614037,6,3,11215,89
Kano,12,8.516667,2496419,106,53,4881,127
Katsina,12.983333,7.6,596504,0,0,2381,37
Kebbi,12.453611,4.200278,394696,20,10,454,16
Kogi,7.816667,6.75,308478,0,0,3,2
Kwara,8.5,4.55,664113,792,396,4175,64
Lagos,6.455027,3.384082,2570900,1714,857,98062,769
Nasarawa,8.491667,8.516667,1756642,688,344,2345,39
Niger,9.613889,6.556944,503054,260,130,998,20
Ogun,7.160833,3.348333,1441437,22,11,5717,82
Ondo,7.25,5.195,616952,630,315,4749,109
Osun,7.766667,4.566667,821619,72,36,3183,92
Oyo,7.396389,3.916667,1386502,2,1,10028,202
Plateau,9.916667,8.890278,379066,2,1,10180,75
Rivers,4.824167,7.033611,597706,56,28,16519,154
Sokoto,13.062222,5.233889,311107,0,0,790,28
Taraba,8.9,11.366667,277744,124,62,1377,34
Yobe,11.744444,11.961111,270699,0,0,600,9
Zamfara,12.15,6.666667,705731,0,0,366,9
