"Location","lat","lon","IniitalVaccinated","InitialExposed","InitialInfections","InitialRecovered","InitialDead"
"Adjumani","3.22862077514134","31.7687295128316","0","0","0","0","0"
"Apac","2.11937445464845","32.5718422248767","0","0","0","0","0"
"Arua","3.0563341510279","31.1018645437852","0","0","0","0","0"
"Bugiri","0.459967101405646","33.7923849656962","0","0","0","0","0"
"Bundibugyo","0.869617414116189","30.2242882723661","0","0","0","0","0"
"Bushenyi","-0.417561575179231","30.141373919186","0","0","0","0","0"
"Busia","0.421138693954074","34.0060358721964","0","0","0","0","0"
"Gulu","2.77954476264293","32.0526878013915","0","0","0","0","0"
"Hoima","1.38599963105177","31.1550065332177","0","0","0","0","0"
"Iganga","0.781158304036311","33.5272470688806","0","0","0","0","0"
"Jinja","0.574729381135565","33.2104392484681","0","0","0","0","0"
"Kabale","-1.22146513213833","29.9762592383937","0","0","0","0","0"
"Kabarole","0.597585935433855","30.2901155562518","0","0","0","0","0"
"Kaberamaido","1.76108365465133","33.222056808629","0","0","0","0","0"
"Kalangala","-0.358622731714921","32.2046952339705","0","0","0","0","0"
"Kampala","0.323049996341336","32.5926504446847","0","0","0","0","0"
"Kamuli","1.10904874812048","33.1962322441933","0","0","0","0","0"
"Kamwenge","0.227605773608126","30.4939246493475","0","0","0","0","0"
"Kanungu","-0.814364168623087","29.7259982939659","0","0","0","0","0"
"Kapchorwa","1.368082413094","34.5756829436844","0","0","0","0","0"
"Kasese","0.120367981423105","30.004093807627","0","0","0","0","0"
"Katakwi","2.01875204300808","33.8563079047958","0","0","0","0","0"
"Kayunga","0.976034335679759","32.8906482010572","0","0","0","0","0"
"Kibale","0.944480687960803","31.0801751918567","0","0","0","0","0"
"Kiboga","1.01420908144126","31.7639835992609","0","0","0","0","0"
"Kisoro","-1.21987103483958","29.6826218971981","0","0","0","0","0"
"Kitgum","3.48949620032687","32.9536307054927","0","0","0","0","0"
"Kotido","3.29885619436602","33.9635001262584","0","0","0","0","0"
"Kumi","1.44099073747471","33.9684269049375","0","0","0","0","0"
"Kyenjojo","0.571625376462861","30.8067536231267","0","0","0","0","0"
"Lake Albert","1.60107825596981","30.973955067051","0","0","0","0","0"
"Lake Victoria","-0.423557651970674","32.9564230888765","0","0","0","0","0"
"Lira","2.11498290426874","33.0737387948188","0","0","0","0","0"
"Luwero","0.965958010769643","32.3297351936064","0","0","0","0","0"
"Masaka","-0.294790378478058","31.6640932861553","0","0","0","0","0"
"Masindi","1.89092097399048","31.8173241880331","0","0","0","0","0"
"Mayuge","0.389427472343604","33.4991035161995","0","0","0","0","0"
"Mbale","0.969226096643769","34.2965927683729","0","0","0","0","0"
"Mbarara","-0.434102193086141","30.7828000386962","0","0","0","0","0"
"Moroto","2.50451900379881","34.3915278672315","0","0","0","0","0"
"Moyo","3.53056241289489","31.6712855020535","0","0","0","0","0"
"Mpigi","0.162212155656119","31.9194075317637","0","0","0","0","0"
"Mubende","0.502045232600128","31.6675053507533","0","0","0","0","0"
"Mukono","0.395573474225577","32.8975707237138","0","0","0","0","0"
"Nakapiripirit","1.86552978738694","34.6500087049529","0","0","0","0","0"
"Nakasongola","1.35490751801134","32.4247141121931","0","0","0","0","0"
"Nebbi","2.48070571876598","31.1584593566127","0","0","0","0","0"
"Ntungamo","-0.938883421813081","30.2759030519612","0","0","0","0","0"
"Pader","2.92371570145987","33.113599867356","0","0","0","0","0"
"Pallisa","1.14958610921123","33.8066132871116","0","0","0","0","0"
"Rakai","-0.631847691607664","31.3942435435309","0","0","0","0","0"
"Rukungiri","-0.70531501556452","29.8892397216285","0","0","0","0","0"
"Sembabule","-0.0231707777430016","31.3396452356109","0","0","0","0","0"
"Sironko","1.29622794892609","34.3440426296537","0","0","0","0","0"
"Soroti","1.6096681600548","33.4632747008379","0","0","0","0","0"
"Tororo","0.783849838264799","34.0285767977575","0","0","0","0","0"
"Wakiso","0.344803587262167","32.4528797980104","0","0","0","0","0"
"Yumbe","3.52378948494247","31.2876969410225","0","0","0","0","0"
